NR_SECAO,escore,votos,local
180.0,7.103390804597701,145.0,EMEIF PROF. GERMANO CASSIOLATO
57.0,7.080693581780539,161.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
118.0,7.041489898989898,132.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
301.0,6.997046070460705,123.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
89.0,6.992682445759368,169.0,EE DR.TEÓFILO DE ANDRADE - EF
122.0,6.948385012919897,129.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
219.0,6.940297297297298,185.0,EMEB ANTONIO JOSÉ MINGHINI
59.0,6.9244020356234115,131.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
206.0,6.907254273504273,156.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
88.0,6.893607594936709,158.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
214.0,6.85702947845805,147.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
60.0,6.831325051759835,161.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
12.0,6.790285714285713,105.0,UNIFEOB CAMPUS MANTIQUEIRA
200.0,6.777923976608187,114.0,EE MONSENHOR ANTONIO DAVID - E.F.
160.0,6.777582846003899,171.0,EMEIF PROF. GERMANO CASSIOLATO
92.0,6.7501984126984125,84.0,EMEB MARIA DE LOURDES TEIXEIRA
91.0,6.742955974842765,106.0,EMEB MARIA DE LOURDES TEIXEIRA
138.0,6.731942355889724,133.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
186.0,6.72286701208981,193.0,EMEIF PROF. GERMANO CASSIOLATO
61.0,6.71447311827957,155.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
187.0,6.69266975308642,108.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
126.0,6.680752032520326,164.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
31.0,6.671501377410468,121.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
145.0,6.667850877192983,152.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
20.0,6.6412916666666675,160.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
195.0,6.637333333333333,105.0,UNIFEOB CAMPUS MANTIQUEIRA
167.0,6.632101990049752,134.0,EMEIF SARAH SALOMÃO
220.0,6.62473544973545,126.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
290.0,6.617798742138365,212.0,EMEB ANTONIO JOSÉ MINGHINI
38.0,6.613272506082726,137.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
53.0,6.602521645021644,154.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
42.0,6.5942592592592595,144.0,EE DR.TEÓFILO DE ANDRADE - EF
55.0,6.586098765432098,135.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
107.0,6.584622641509435,159.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
221.0,6.580659722222222,144.0,CENTRO EDUCACIONAL SESI
43.0,6.571795865633075,129.0,EE DR.TEÓFILO DE ANDRADE - EF
136.0,6.568061728395061,135.0,EMEIF SARAH SALOMÃO
41.0,6.566526806526807,143.0,EE DR.TEÓFILO DE ANDRADE - EF
146.0,6.565156695156695,117.0,UNIFEOB CAMPUS MANTIQUEIRA
153.0,6.561815008726003,191.0,COLÉGIO EL SHADAI
137.0,6.559651600753296,177.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
66.0,6.557160493827159,162.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
18.0,6.547783687943261,94.0,UNIFEOB CAMPUS MANTIQUEIRA
115.0,6.5462031558185405,169.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
210.0,6.539733333333333,125.0,UNIFEOB CAMPUS MANTIQUEIRA
175.0,6.53900234741784,142.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
32.0,6.5359937888198765,161.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
70.0,6.531793785310734,118.0,EMEB MARIA DE LOURDES TEIXEIRA
148.0,6.530547619047619,140.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
13.0,6.524884615384616,130.0,UNIFEOB CAMPUS MANTIQUEIRA
106.0,6.523234767025091,186.0,EMEIF PROF. GERMANO CASSIOLATO
192.0,6.513204134366926,129.0,EE.PROFª ANESIA MARTINS MATOS -EF
300.0,6.498367117117117,148.0,CENTRO EDUCACIONAL SESI
11.0,6.4925742574257415,101.0,UNIFEOB CAMPUS MANTIQUEIRA
37.0,6.4899172576832145,141.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
299.0,6.483624161073826,149.0,EMEIF PROF. GERMANO CASSIOLATO
308.0,6.482835249042146,87.0,NOVA EMEB ANTONIO SANTOS CABRAL - RESEDÁS
49.0,6.474632034632035,154.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
303.0,6.469407407407409,135.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
48.0,6.467345238095238,140.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
104.0,6.4664179104477615,134.0,EE.PROFª ANESIA MARTINS MATOS -EF
294.0,6.46144591611479,151.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
47.0,6.457724550898204,167.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
16.0,6.453134556574923,109.0,UNIFEOB CAMPUS MANTIQUEIRA
156.0,6.446572104018912,141.0,EMEIF SARAH SALOMÃO
10.0,6.445824175824175,91.0,UNIFEOB CAMPUS MANTIQUEIRA
141.0,6.444512471655329,147.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
63.0,6.441644444444445,150.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
35.0,6.437472035794183,149.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
155.0,6.436622222222222,150.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
174.0,6.435524475524475,143.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
109.0,6.43280864197531,162.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
291.0,6.431244292237443,146.0,EMEIF PROF. GERMANO CASSIOLATO
203.0,6.426398601398602,143.0,COLÉGIO EL SHADAI
62.0,6.426351851851851,180.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
52.0,6.425087145969499,153.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
90.0,6.4208227848101265,158.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
9.0,6.4154575163398695,102.0,UNIFEOB CAMPUS MANTIQUEIRA
162.0,6.413200589970501,113.0,UNIFEOB CAMPUS MANTIQUEIRA
124.0,6.408155555555555,75.0,EMEB MARIA DE LOURDES TEIXEIRA
298.0,6.404817850637523,183.0,EMEB ANTONIO JOSÉ MINGHINI
39.0,6.395681341719078,159.0,EE DR.TEÓFILO DE ANDRADE - EF
166.0,6.3823035230352305,123.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
28.0,6.3818581081081085,148.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
182.0,6.373189448441248,139.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
177.0,6.371214859437751,166.0,EE MONSENHOR ANTONIO DAVID - E.F.
15.0,6.370825958702064,113.0,UNIFEOB CAMPUS MANTIQUEIRA
185.0,6.365783582089552,134.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
131.0,6.351166666666667,160.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
181.0,6.350374149659862,98.0,EMEB MARIA DE LOURDES TEIXEIRA
292.0,6.348926380368098,163.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
81.0,6.342286585365855,164.0,EE.PROFª ANESIA MARTINS MATOS -EF
202.0,6.341291666666666,120.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
44.0,6.337989583333334,160.0,EE DR.TEÓFILO DE ANDRADE - EF
170.0,6.3378571428571435,126.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
36.0,6.334989648033127,161.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
78.0,6.331096774193548,155.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
85.0,6.326666666666668,94.0,EMEB MARIA DE LOURDES TEIXEIRA
117.0,6.325177304964539,141.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
74.0,6.3230555555555545,132.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
139.0,6.321711956521739,184.0,COLÉGIO EL SHADAI
204.0,6.320279569892474,155.0,CENTRO EDUCACIONAL SESI
67.0,6.31237962962963,180.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
40.0,6.3050564971751415,118.0,EE DR.TEÓFILO DE ANDRADE - EF
310.0,6.304508547008547,78.0,EMEB ANTONIO JOSÉ MINGHINI
46.0,6.300975308641975,135.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
45.0,6.276223776223778,143.0,EE DR.TEÓFILO DE ANDRADE - EF
188.0,6.274237089201877,142.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
82.0,6.271734892787524,171.0,EMEIF PROF. GERMANO CASSIOLATO
209.0,6.261946778711485,119.0,UNIFEOB CAMPUS MANTIQUEIRA
14.0,6.2589922480620155,86.0,UNIFEOB CAMPUS MANTIQUEIRA
176.0,6.243040540540539,148.0,EE PROFª TEREZINHA DOMINICHELLI ROSSI / EUGENIO CIACCO
123.0,6.237242206235012,139.0,EE.PROFª ANESIA MARTINS MATOS -EF
305.0,6.23383547008547,156.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
114.0,6.229477124183006,153.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
50.0,6.223978873239438,142.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
309.0,6.223427230046948,71.0,EMEB LUIZA DE LIMA TEIXEIRA
297.0,6.2195009980039915,167.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
179.0,6.210382882882882,148.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
17.0,6.206428571428572,98.0,UNIFEOB CAMPUS MANTIQUEIRA
93.0,6.204842995169082,138.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
30.0,6.203764705882352,170.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
193.0,6.200582437275986,186.0,EMEIF JOSÉ INÁCIO DINIZ
72.0,6.200503597122302,139.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
56.0,6.19276073619632,163.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
216.0,6.182181818181818,165.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
144.0,6.181252653927813,157.0,COLÉGIO EL SHADAI
58.0,6.173606321839079,116.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
165.0,6.17347619047619,140.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
213.0,6.162313725490197,170.0,EMEIF PROF. GERMANO CASSIOLATO
143.0,6.161408045977011,174.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
132.0,6.161055226824458,169.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
22.0,6.159959595959594,165.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
140.0,6.15966386554622,119.0,EMEIF JOSÉ PERES CASTELHANO
69.0,6.158438596491229,95.0,EE MONSENHOR ANTONIO DAVID - E.F.
105.0,6.15591856060606,176.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
169.0,6.152141119221412,137.0,EMEIF JOSÉ PERES CASTELHANO
121.0,6.151988304093566,171.0,EE DR.TEÓFILO DE ANDRADE - EF
172.0,6.150063492063492,105.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
68.0,6.14859649122807,95.0,EE MONSENHOR ANTONIO DAVID - E.F.
133.0,6.147732240437159,122.0,UNIFEOB CAMPUS MANTIQUEIRA
51.0,6.144403973509934,151.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
158.0,6.140474452554745,137.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
116.0,6.13970284237726,129.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
34.0,6.128790560471977,113.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
134.0,6.1262538226299705,109.0,EE MONSENHOR ANTONIO DAVID - E.F.
24.0,6.112981927710842,166.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
199.0,6.112650918635169,127.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
33.0,6.103502252252252,148.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
75.0,6.082010178117048,131.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
194.0,6.076793785310734,118.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
159.0,6.073880778588807,137.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
304.0,6.063212121212121,110.0,NOVA EMEB ANTONIO SANTOS CABRAL - RESEDÁS
130.0,6.049903581267218,121.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
295.0,6.045695443645084,139.0,NOVA EMEB ANTONIO SANTOS CABRAL - RESEDÁS
149.0,6.0424224806201545,172.0,EE PROFª TEREZINHA DOMINICHELLI ROSSI / EUGENIO CIACCO
150.0,6.039999999999999,155.0,COLÉGIO EL SHADAI
217.0,6.0367026378896895,139.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
112.0,6.03095652173913,115.0,EMEB MARIA DE LOURDES TEIXEIRA
205.0,6.028217592592593,144.0,EE.PROFª ANESIA MARTINS MATOS -EF
191.0,6.0252331002331,143.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
79.0,5.999493333333334,125.0,EE.PROFª ANESIA MARTINS MATOS -EF
26.0,5.995917107583776,189.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
119.0,5.9894444444444455,129.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
80.0,5.982394179894181,126.0,EE.PROFª ANESIA MARTINS MATOS -EF
196.0,5.96754491017964,167.0,EMEIF SARAH SALOMÃO
76.0,5.962372685185185,144.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
302.0,5.9612037037037044,108.0,UNIFEOB CAMPUS MANTIQUEIRA
64.0,5.95514254385965,152.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
108.0,5.950652173913043,138.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
83.0,5.947368421052633,152.0,EMEIF PROF. GERMANO CASSIOLATO
95.0,5.930500963391137,173.0,EE.PROFª ANESIA MARTINS MATOS -EF
208.0,5.925745098039216,170.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
211.0,5.924549808429119,174.0,EMEIF SARAH SALOMÃO
87.0,5.919278131634818,157.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
110.0,5.918012152777777,192.0,EMEIF JOSÉ INÁCIO DINIZ
65.0,5.902190082644627,121.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
161.0,5.875079744816587,209.0,EMEIF JOSÉ INÁCIO DINIZ
184.0,5.865905172413793,116.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
73.0,5.849679911699779,151.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
54.0,5.82892773892774,143.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
173.0,5.816401515151515,132.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
135.0,5.799539877300613,163.0,EE PROFª TEREZINHA DOMINICHELLI ROSSI / EUGENIO CIACCO
168.0,5.790411877394636,174.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
113.0,5.738973333333334,125.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
171.0,5.732892857142858,140.0,EE.PROFª ANESIA MARTINS MATOS -EF
94.0,5.707022471910113,89.0,EMEB MARIA DE LOURDES TEIXEIRA
127.0,5.686006289308176,106.0,EE PROFºJOSÉ NOGUEIRA DE BARROS -EF
71.0,5.660309523809524,140.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
142.0,5.6501779935275085,103.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
296.0,5.632955426356588,172.0,EMEIF JOSÉ PERES CASTELHANO
163.0,5.6081379310344825,145.0,EE PROFª TEREZINHA DOMINICHELLI ROSSI / EUGENIO CIACCO
189.0,5.6066501650165,101.0,EMEB MARIA DE LOURDES TEIXEIRA
197.0,5.569635761589404,151.0,EMEIF JOSÉ PERES CASTELHANO
157.0,5.563537414965986,98.0,EE MONSENHOR ANTONIO DAVID - E.F.
215.0,5.5173958333333335,128.0,EMEIF SARAH SALOMÃO
77.0,5.513615384615385,130.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
212.0,5.500101781170484,131.0,EMEIF JOSÉ PERES CASTELHANO
84.0,5.098369829683699,137.0,EE PROFºJOSÉ NOGUEIRA DE BARROS -EF
207.0,5.034886363636363,132.0,CENTRO EDUCACIONAL SESI
