NR_ZONA,renda_pc_media,renda_resp_media,populacao_total,n_locais,nome_ze,escore_ver_2024,escore_pref_2024,escore_ver_2020
5,5364.548947368421,7609.773157894737,8113.0,19,JARDIM PAULISTA,6.143114739648752,5.648896660763977,6.055041611430256
251,3819.4148148148147,6304.314814814815,11503.0,27,PINHEIROS,5.534277032512121,5.159698110030182,5.570079430778935
258,3503.7423333333336,5283.106,17233.0,30,INDIANOPOLIS,6.3923615157901805,5.878342778123157,6.230596011167737
6,3263.5414814814812,4767.599259259259,16242.0,27,VILA MARIANA,5.996591265393961,5.481054018623994,5.959902542786756
2,3136.760333333333,4796.397333333333,14908.0,30,PERDIZES,5.7066287091444465,5.275030263334034,5.6474124378537285
346,2966.3199999999997,5301.183888888889,12803.0,36,BUTANTA,6.1628079086101275,5.561635423064957,6.1376495425901245
259,2926.7000000000003,4504.799705882353,22290.0,34,SAUDE,6.123032418295421,5.606843668453765,5.959144494557169
246,2634.869090909091,4397.506818181818,14175.0,22,SANTO AMARO,6.417884493951892,5.885056769253809,6.181156103542366
249,1838.654827586207,2869.101724137931,15838.0,29,SANTANA,6.4135268585131895,5.867917424791715,6.145458432202484
1,1804.5788,2430.3972,12443.0,25,BELA VISTA,5.520269672653457,5.027663701936113,5.629445682957239
250,1707.3512962962964,2773.0007692307695,30377.0,54,LAPA,6.100535523282071,5.66089501837347,5.952899578563342
260,1512.1339473684209,2291.367368421053,24062.0,38,IPIRANGA SAO,6.398734884379822,5.767856200362442,6.0574872850978645
4,1499.587857142857,2298.8107142857143,19246.0,28,MOOCA,6.492458370753973,5.93793468119903,6.190601447210985
253,1484.2804081632655,2331.5353061224487,30204.0,49,TATUAPE,6.496417817302441,5.954945022000425,6.128238436461057
320,1471.929761904762,2284.859523809524,27041.0,42,JABAQUARA,6.351431536179995,5.692204319718623,6.32532088211007
374,1409.5055102040817,2172.5016326530613,26986.0,49,RIO PEQUENO,6.1544713624403204,5.513093837101269,5.7902561139647375
413,1370.673,2150.820666666667,23073.0,30,CURSINO,6.387793738215739,5.714418479325886,5.910036406442459
408,1318.7336111111113,1993.7319444444447,27476.0,36,JARDIM SAO LUIS,6.258594604280042,5.5190255301462665,6.157630298394963
257,1286.2063414634147,2039.8717499999998,30083.0,41,VILA PRUDENTE,6.449686601071193,5.866226010511719,6.183185053622953
348,1247.0776923076924,2185.8568,17583.0,26,VILA FORMOSA,6.525847789771267,5.986088450504757,6.186572550974388
325,1227.5273076923077,2076.2556,19201.0,26,PIRITUBA,6.034717638661461,5.752628440412601,5.80236746603007
256,1187.310243902439,1913.339268292683,29425.0,41,TUCURUVI,6.620323605539812,5.901771699165317,6.34071438016989
252,1184.6162068965518,1785.7241379310344,19424.0,29,PENHA DE FRANCA,6.343767715944471,5.814760157860475,6.142907247862683
255,1143.5984615384614,1647.7128205128206,25256.0,39,CASA VERDE,6.407570999567311,5.840970554440705,6.227089754118159
327,1104.014,1623.652,25058.0,35,NOSSA SENHORA DO O,6.238305952283918,5.721377015525427,5.932252459200498
351,1093.6065384615385,1627.7546153846156,17682.0,26,CIDADE ADEMAR,6.343370597293937,5.718230969308133,6.136809414986587
254,1033.86775,1458.6612499999999,24572.0,40,VILA MARIA,6.635611839106267,6.034484413774012,6.392750977107761
349,1028.1909677419355,1573.5887096774193,18007.0,31,JACANA,6.5731518235898445,5.843242030221211,6.247996470060617
280,1003.4973170731707,1539.4641463414634,35707.0,41,CAPELA DO SOCORRO,6.187944186131654,5.702598563681665,6.050861694571284
3,991.594705882353,1533.434705882353,10734.0,17,SANTA IFIGENIA,6.06186150254315,5.516443160095245,5.994853804166773
422,982.536875,1561.3421875,20916.0,32,LAUZANE PAULISTA,6.448008120445493,5.8780044223607515,6.255882907937292
347,910.9447727272727,1342.8261363636364,31433.0,44,VILA MATILDE,6.441674991977429,5.847163404138357,6.172533074429614
420,856.9768965517242,1214.8806896551725,16589.0,29,VILA SABRINA,6.680542696216159,5.996563962309859,6.39644385661735
392,852.2376470588235,1262.5476470588237,22669.0,34,PONTE RASA,6.345694749029202,5.783731589308161,6.173661819799569
247,819.2542307692308,1208.5023076923078,17904.0,26,SAO MIGUEL PAULISTA,6.380812274308321,5.758602625219788,6.193487361960551
417,814.0057692307693,1324.595,24974.0,26,PARQUE DO CARMO,6.173581337041485,5.705728081078497,5.978102149594637
248,790.4815625,1187.1828125,26254.0,32,ITAQUERA,6.241893872466888,5.690801858181293,6.154428430561865
418,781.5485714285714,1164.2085714285715,28555.0,42,PEDREIRA SAO,6.380455978712698,5.7986200564753805,6.116570506737521
398,754.1514814814815,1224.1466666666665,17351.0,27,VILA JACUI,,,6.281626812621038
326,745.5187096774195,1149.7009677419355,22984.0,31,ERMELINO MATARAZZO,6.291523904486463,5.756944969677969,6.145169943981732
350,745.0009677419355,1090.9212903225805,25085.0,31,SAPOPEMBA,6.3649173912160535,5.783447232300755,5.979810283615958
328,731.8431034482759,1112.29,21060.0,29,CAMPO LIMPO,6.276012363169621,5.44732810615199,6.115845496889037
390,704.6341379310345,1068.3344827586207,20110.0,29,CANGAIBA,6.443172268627686,5.843687498442911,6.212755658154041
373,693.4303571428571,1064.5414285714285,23892.0,28,CAPAO REDONDO,6.347104967783526,5.471791558216997,6.182434856199383
405,692.2968181818183,1058.0481818181818,16968.0,22,CONJUNTO JOSE BONIFACIO,6.154738912679478,5.57444992679768,6.072401761120143
403,685.1956,1110.8347999999999,19501.0,25,JARAGUA,6.211066529675966,5.652446673578885,5.960435392191958
376,679.5564150943396,983.8581132075473,42129.0,53,BRASILANDIA,6.238772821406363,5.710952337502903,5.940032254165848
421,662.5577777777778,991.9203703703705,17643.0,27,TEOTONIO VILELA,6.246164754503968,5.645734207018333,5.7834945208810185
389,659.566,1043.3726,42773.0,50,PERUS,6.2044905703130455,5.663876407249048,6.004414752691382
371,649.8374418604652,993.9588372093024,33859.0,43,GRAJAU,6.044266945567359,5.557885337381026,5.915513764065877
372,645.18125,994.9122916666666,38769.0,48,PIRAPORINHA SAO,6.356666745598962,5.3764441433983094,6.350794624860023
375,640.6005882352941,994.0282352941177,38803.0,51,SAO MATEUS,5.905232807171842,5.491364186091028,5.758389857224837
20,577.7063888888889,817.6161111111111,25485.0,36,VALO VELHO,6.147970629255886,5.347509410917575,5.962013932222024
352,562.5159090909091,870.5659090909091,34144.0,44,ITAIM PAULISTA,6.217344495705957,5.699804405407971,6.060270841456067
353,556.1379545454546,865.3172727272727,28792.0,44,GUAIANASES,6.124717485457477,5.591809550404915,5.985827503425822
381,552.4363636363636,824.0936363636364,39054.0,55,PARELHEIROS,6.275045045387889,5.619340638532005,6.164960533966769
397,549.6619354838709,859.7493548387097,23258.0,31,JARDIM HELENA,6.185535552236683,5.686049868659014,6.066830372216721
404,511.76024390243896,798.4946341463415,28043.0,41,CIDADE TIRADENTES,5.907342538259868,5.426210120451714,5.878338528211465
